  %   cumulative   self               self        total
 time   seconds   seconds     calls  ms/call     ms/call  name
  0.00 47107.50      0.01       197     0.05        0.05  Rtc::ClassLoader.find_type_ident
  0.00 47107.51      0.01       135     0.07        1.41  Rtc::TypeAnnotationParser#_reduce_55
  0.00 47107.52      0.01       543     0.02        0.13  Rtc::Types::Type#==
  0.00 47107.53      0.01       648     0.02        0.59  String#sub
  0.00 47107.54      0.01        57     0.18        0.18  Racc::Parser#_racc_setup
  0.00 47107.55      0.01       694     0.01        0.01  Kernel.===
  0.00 47107.55      0.00       328     0.00        0.00  Rtc::Types::NominalType::InheritanceChainIterator#initialize
  0.00 47107.55      0.00         8     0.00        0.00  Rtc::TypeAnnotationParser#construct_msig
  0.00 47107.55      0.00         8     0.00        0.00  Rtc::TypeAnnotationParser#_reduce_38
  0.00 47107.55      0.00         8     0.00        0.00  Rtc::TypeSignature#initialize
  0.00 47107.55      0.00        70     0.00        0.00  Array#+
  0.00 47107.55      0.00        62     0.00        1.77  Rtc::TypeAnnotationParser#_reduce_61
  0.00 47107.55      0.00         8     0.00        0.00  Rtc::TypeAnnotationParser#handle_mtype
  0.00 47107.55      0.00         8     0.00        0.00  Rtc::TypeAnnotationParser#_reduce_23
  0.00 47107.55      0.00      1395     0.00        0.00  Kernel.kind_of?
  0.00 47107.55      0.00         8     0.00        0.00  Rtc::TypeAnnotationParser#_reduce_14
  0.00 47107.55      0.00        70     0.00        0.14  Rtc::TypeAnnotationParser#_reduce_65
  0.00 47107.55      0.00         8     0.00        0.00  Rtc::TypeAnnotationParser#_reduce_8
  0.00 47107.55      0.00       585     0.00        0.00  String#+
  0.00 47107.55      0.00         8     0.00        0.00  Rtc::TypeAnnotationParser#_reduce_1
  0.00 47107.55      0.00       774     0.00        0.00  BasicObject#==
  0.00 47107.55      0.00        56     0.00       53.04  SudokuSolver#cross
  0.00 47107.55      0.00        57     0.00        0.00  Symbol#===
  0.00 47107.55      0.00        57     0.00       25.09  Racc::Parser#do_parse
  0.00 47107.55      0.00        57     0.00       25.26  Rtc::TypeAnnotationParser#scan_str
  0.00 47107.55      0.00        32     0.00        0.00  Rtc::Identifier#to_s
  0.00 47107.55      0.00         8     0.00        0.00  TypeSigInfo#initialize
  0.00 47107.55      0.00       197     0.00        0.00  Module#const_get
  0.00 47107.55      0.00         1     0.00        0.00  Rtc::Types::BottomType#initialize
  0.00 47107.55      0.00         8     0.00        1.25  Object#add_to_typesigs
  0.00 47107.55      0.00       197     0.00        0.00  Module#const_defined?
  0.00 47107.55      0.00       197     0.00        0.00  Kernel.eval
  0.00 47107.55      0.00       198     0.00        0.00  Array#join
  0.00 47107.55      0.00         4     0.00        0.00  Rtc::Types::NominalType#initialize
  0.00 47107.55      0.00         1     0.00        0.00  Class#rtc_get_type
  0.00 47107.55      0.00       381     0.00        0.18  Array#delete
  0.00 47107.55      0.00       197     0.00        0.05  Rtc::TypeAnnotationParser#_reduce_49
  0.00 47107.55      0.00       197     0.00        0.05  Rtc::TypeAnnotationParser#_reduce_46
  0.00 47107.55      0.00       157     0.00        0.00  StringScanner#eos?
  0.00 47107.55      0.00         8     0.00        0.00  Rtc::TypeAnnotationParser#_reduce_32
  0.00 47107.55      0.00         8     0.00        0.00  Rtc::MethodIdentifier#initialize
  0.00 47107.55      0.00         8     0.00        0.00  Rtc::Identifier#initialize
  0.00 47107.55      0.00         8     0.00        0.00  Rtc::TypeAnnotationParser#_reduce_30
  0.00 47107.55      0.00         8     0.00        0.00  Rtc::TypeAnnotationParser#_reduce_13
  0.00 47107.55      0.00         8     0.00        0.00  Array#flatten
  0.00 47107.55      0.00       594     0.00        0.00  Rtc::TypeAnnotationParser#action
  0.00 47107.55      0.00         8     0.00        2.50  Rtc::Types::NominalType#add_method
  0.00 47107.55      0.00         8     0.00        0.00  Module#instance_methods
  0.00 47107.55      0.00         8     0.00        0.00  Rtc::Identifier#to_sym
  0.00 47107.55      0.00         8     0.00        3.75  Rtc::Annotated.handle_instance_typesig
  0.00 47107.55      0.00        57     0.00        0.18  Rtc::TypeAnnotationParser#scan_setup
  0.00 47107.55      0.00        10     0.00        0.00  Rtc::Types::BottomType#has_parameterized
  0.00 47107.55      0.00         8     0.00       51.25  Rtc::Annotated.typesig
  0.00 47107.55      0.00        57     0.00        0.00  StringScanner#initialize
  0.00 47107.55      0.00         1     0.00       10.00  Object#rtc_annotated
  0.00 47107.55      0.00         1     0.00       10.00  Kernel.extend
  0.00 47107.55      0.00         1     0.00       10.00  Rtc::Annotated.extended
  0.00 47107.55      0.00         6     0.00        0.00  Kernel.instance_variable_set
  0.00 47107.55      0.00        50     0.00        0.00  Rtc::TypeAnnotationParser#initialize
  0.00 47107.55      0.00         1     0.00        0.00  Rtc::ClassModifier#deferred?
  0.00 47107.55      0.00         1     0.00        0.00  Module#extend_object
  0.00 47107.55      0.00       155     0.00        0.00  Rtc::Types::UnionType#eql?
  0.00 47107.55      0.00        17     0.00        0.00  Set#include?
  0.00 47107.55      0.00         1     0.00 20666160.00  SudokuSolver#initialize
  0.00 47107.55      0.00         1     0.00        0.00  String#chomp
  0.00 47107.55      0.00         1     0.00        0.00  Module#attr_reader
  0.00 47107.55      0.00         2     0.00        0.00  Enumerable.to_a
  0.00 47107.55      0.00         8     0.00        0.00  Rtc::TypeAnnotationParser#_reduce_35
  0.00 47107.55      0.00         2     0.00        0.00  Range#each
  0.00 47107.55      0.00         6     0.00        0.00  Module#method_added
  0.00 47107.55      0.00        81     0.00        0.00  Kernel.=~
  0.00 47107.55      0.00         2     0.00    31625.00  SudokuSolver#parse_grid
  0.00 47107.55      0.00         1     0.00        0.00  Class#inherited
  0.00 47107.55      0.00         2     0.00        0.00  String#upto
  0.00 47107.55      0.00       453     0.00        0.09  Rtc::ProxyObject#==
  0.00 47107.55      0.00        49     0.00        0.20  Rtc::TypeAnnotationParser#_reduce_11
  0.00 47107.55      0.00        49     0.00        0.00  Rtc::TypeAnnotationParser#_reduce_4
  0.00 47107.55      0.00        49     0.00      308.78  Object#rtc_cast
  0.00 47107.55      0.00         2     0.00      215.00  Kernel.require
  0.00 47107.55      0.00         2     0.00      215.00  Kernel.gem_original_require
  0.00 47107.55      0.00         2     0.00        0.00  String#<=>
  0.00 47107.55      0.00         8     0.00        0.00  Module#instance_method
  0.00 47107.55      0.00         8     0.00        0.00  Kernel.lambda
  0.00 47107.55      0.00        47     0.00        0.00  Kernel.initialize_copy
  0.00 47107.55      0.00        47     0.00        0.00  Kernel.initialize_clone
  0.00 47107.55      0.00        47     0.00        0.00  Kernel.clone
  0.00 47107.55      0.00         6     0.00        0.00  Rtc::TypeAnnotationParser#_reduce_52
  0.00 47107.55      0.00         2     0.00        0.00  Gem.unresolved_deps
  0.00 47107.55      0.00         8     0.00        0.00  Module#define_method
  0.00 47107.55      0.00         4     0.00        0.00  IO#set_encoding
